gene_a,gene_b,pathway,interaction_type,source
RGL2,RGL2_1,RAS GTPase Signaling,same-gene-probes,Affymetrix
RGL2,RGL2_2,RAS GTPase Signaling,same-gene-probes,Affymetrix
RGL2,RGL2_3,RAS GTPase Signaling,same-gene-probes,Affymetrix
RGL2,RGL2_4,RAS GTPase Signaling,same-gene-probes,Affymetrix
SURF2,SURF2_1,Surfeit Locus,same-gene-probes,Affymetrix
NSF,NSF_1,Vesicle Fusion,same-gene-probes,Affymetrix
NSF,NSF_2,Vesicle Fusion,same-gene-probes,Affymetrix
C6orf47,C6orf47_1,Chromosome 6 Locus,same-gene-probes,Affymetrix
C6orf47,C6orf47_2,Chromosome 6 Locus,same-gene-probes,Affymetrix
C6orf47,C6orf47_3,Chromosome 6 Locus,same-gene-probes,Affymetrix
C6orf47,C6orf47_4,Chromosome 6 Locus,same-gene-probes,Affymetrix
C6orf47,C6orf47_5,Chromosome 6 Locus,same-gene-probes,Affymetrix
C6orf47,C6orf47_6,Chromosome 6 Locus,same-gene-probes,Affymetrix
TAF4,TAF4_1,Transcription Factor TFIID,same-gene-probes,Affymetrix
XYLT1,XYLT1_1,Proteoglycan Synthesis,same-gene-probes,Affymetrix
XYLT1,XYLT2,Proteoglycan Synthesis,paralog-functional,KEGG hsa00534
B3GALT4,B3GALT4_1,Glycosphingolipid Biosynthesis,same-gene-probes,Affymetrix
B3GALT4,B3GALT4_2,Glycosphingolipid Biosynthesis,same-gene-probes,Affymetrix
B3GALT4,B3GALT4_3,Glycosphingolipid Biosynthesis,same-gene-probes,Affymetrix
B3GALT4,B3GALT4_4,Glycosphingolipid Biosynthesis,same-gene-probes,Affymetrix
MMP11,MMP11_1,ECM Remodelling,same-gene-probes,Affymetrix
SCRIB,SCRIB_1,Cell Polarity,same-gene-probes,Affymetrix
PADI2,PADI2_1,Citrullination,same-gene-probes,Affymetrix
FAN1,FAN1_1,DNA Repair,same-gene-probes,Affymetrix
NEDD8,NEDD8_1,Ubiquitin-like Signaling,same-gene-probes,Affymetrix
GFER,GFER_1,Mitochondrial Disulfide Relay,same-gene-probes,Affymetrix
FTCD,FTCD_1,Folate Metabolism,same-gene-probes,Affymetrix
DGAT1,DGAT1_1,Lipid Synthesis,same-gene-probes,Affymetrix
CACFD1,CACFD1_1,Calcium Signaling,same-gene-probes,Affymetrix
GFUS,GFUS_1,Hexose Metabolism,same-gene-probes,Affymetrix
NAP1L4,NAP1L4_1,Chromatin Remodeling,same-gene-probes,Affymetrix
ZNHIT3,ZNHIT3_1,Chromatin Remodeling,same-gene-probes,Affymetrix
TM9SF1,TM9SF1_1,Transmembrane Transport,same-gene-probes,Affymetrix
EMC9,EMC9_1,ER Membrane Complex,same-gene-probes,Affymetrix
PLA2G10,PLA2G10_1,Phospholipid Metabolism,same-gene-probes,Affymetrix
NDUFA2,NDUFA4,Mitochondrial Complex I,complex-partner,KEGG hsa00190
NDUFA2,NDUFA5,Mitochondrial Complex I,complex-partner,KEGG hsa00190
NDUFA2,NDUFA8,Mitochondrial Complex I,complex-partner,KEGG hsa00190
NDUFA4,NDUFA5,Mitochondrial Complex I,complex-partner,KEGG hsa00190
NDUFA4,NDUFA8,Mitochondrial Complex I,complex-partner,KEGG hsa00190
NDUFA5,NDUFA8,Mitochondrial Complex I,complex-partner,KEGG hsa00190
UQCR11,UQCRQ,Mitochondrial Complex III,complex-partner,KEGG hsa00190
SOD2,NDUFA2,Mitochondrial Oxidative Phosphorylation,co-localization,KEGG hsa00190
LAMP3,CD74,Lysosome and Antigen Processing,co-localization,KEGG hsa04142
LAMP3,HLA-DMA,Antigen Processing,co-localization,KEGG hsa04612
CTBP2,ZNF217,Transcriptional Repression,co-repressor,PMID:16260608
ZNF217,BCL11A,Transcriptional Regulation,co-expression-cancer,PMID:21339432
SOCS3,IL2RG,JAK-STAT Signaling,negative-feedback,KEGG hsa04630
SOCS3,LCK,JAK-STAT Signaling,downstream-inhibition,KEGG hsa04630
TBK1,GADD45A,Innate Immunity and Stress,co-activation,PMID:18354169
RUNX3,GADD45A,Tumor Suppression,transcription-target,PMID:15657428
RUNX3,GATA3,Transcription Factor Network,co-expression-luminal,PMID:17898714
ARRB2,CXCR4,GPCR Desensitization,arrestin-receptor,KEGG hsa04062
ARRB2,IGF1R,Receptor Internalization,complex-partner,PMID:17277771
E2F4,CCND2,Cell Cycle Regulation,downstream-target,KEGG hsa04110
CCND2,CDK5RAP1,Cell Cycle,interaction,KEGG hsa04110
ZFP36L1,ZFP36L2,mRNA Stability,paralog-functional,PMID:22699851
